Domain,Job ID,Job,work steam,Purpose,Key Responsibilities,Key Deliverables,Outcomes & KPIs,Competency 1,Competency 2,Competency 3,Competency 4,Competency 5,Competency 6,Competency 7,Competency 8,Competency 9,Competency 10,Competency 11,Competency 12
Network Mobility,45280903,Manager RAN Network Planning & Engg,RAN Engg & Arch,"Your role as Manager, RAN Network Planning & Engineering is to Develop and distribute ODD plans, homing strategies, and dimensioning documents for RAN components. Oversee the management of space, power calculations, and the workflow for installation and ATP procedures. Offer guidelines for installation, online issue tracking, and problem-solving. Create automated portals and applications to streamline management. Confirm the accuracy of RAN element models in GIS/NE/Granite for inventory and OSS objectives.","1.	Preparation & release of ODD plans with PLMN, ECGI,TA,IP, etc. based on inputs from RF/transport/data teams.
2.	Process design & modification for RFI Survey, ATP11A/11B, RRH swap, 4th Sector, pole solutions, mMIMO deployment in Siteforge, Granite, Network Engineer
3.	Dimensioning documents for RAN NEs. Designing & finalizing I&C ATPs.
4.	Work flow management for ATP.
5.	Installation guidelines to circle teams. 
6.	Web-based issue tracking & resolution. 
7.	Automated portals & applications design. Model verification of RAN elements in GIS/NE/Granite for inventory & OSS
8.	Capex management & timely PR for Material ordering
9.	Solution Engineering & release of Guideline to circles for I&C
10.	New vendor evolution for Indigenous IRM procurement & new technology evaluation like MIMO,5G 
11.	Automated portals & applications design.
12.	Defining new requirements through PRD & FRD for RAN domain 
13.	Regulatory compliance by Security features testing, FOA & CRO as per JIO InfoSec policy 
14.	RAN attribute audit for data consistency in Siteforge, NE, Granite","1.	Release of ODD periodically as per scope release by CPC
2.	Core configuration in advance to ensure connectivity
3.	Ensuring equipment placement in NE/GI for OSS visibility 
4.	E2E automation for ODD, RFI survey, ATP11A ATP11B done. Network Integration Tree in JCP 
5.	PR raised as per agreed BoQ for 5G IRM for both vendors in advance to ensure seamless project rollout
6.	PR released for services in advance for 5G rollout also for 4G in-house vendors
7.	As per released guideline 5G Installation took place on GBT, GBM, RTT, COW, RTP sites
8.	Pent band estimation~45K) done based on tower feasibility, Tower loading, 700 band feasibility
9.	Ensuring PR raised to ensure antenna availability in stock for seamless rollout","1.	No. of attribute mapping for equipment’s done and data ingress in JBDL from various systems done
2.	Interface developed to fetch data from site forge, JCP, NE, EMS
3.	UI development is in progress
4.	RFI survey done through automation
5.	Integrate sites report to be available through JCP",BoQ Preparation & CAPEX Planning,Designing & Finalizing ATPs,Parameter Planning,RAN Engg & Arch - System Integration,Site Engineering and Design,Standard Compliance,Work flow management ,,,,,
Network Mobility,45280906,Manager RAN Systems,RAN Engg & Arch,"As the RAN Systems Manager, your primary role involves spearheading the architecture and planning of RAN. You are also responsible for the capacity dimensioning and engineering of RAN components, ensuring their interoperability with a variety of OSS systems. Additionally, you will devise and implement a migration strategy to guarantee the optimal use of RAN elements.","1.	Overseeing the specifications and evaluation of RAN features and functionalities.
2.	Performing dimensioning for 4G/5G RAN Systems as per the project scope.
3.	Preparing Capex for RAN - This includes BOQ preparation and releasing PR for material ordering.
4.	Acting as the SME for Capacity Planning and Engineering of RAN platforms.
5.	Developing and executing a homing plan for eNBs/gNBs with RAN elements for optimal utilization.
6.	Managing programs for the readiness and implementation of RAN systems, which includes: i. Server Installations ii. OS Installation iii. Application software installation
7.	Ensuring interoperability of RAN elements with various OSS systems and a centralized SON Platform.
8.	Ensuring as built inventory across all OSS systems for operational management
9.	Ensuring security patches/latest SW/FW versions implementation across all RAN NEs to support latest features and bug fixes
10.	Evolving the Feature Roadmap with vendors for the implementation of new technology and features in the network.
11.	Handling document preparation, verification, and approval to vendors for commercial closure.
12.	Ensuring /overseeing Automation of all necessary processes, acceptances","1.	Network & services Capacity Built for Pan India as per Business requirements.
2.	Ensuring timely implementation of RAN nodes to meet business requirements
3.	Ensuring the augmentation of capacity for all RAN Network Elements in a timely manner and maintaining optimal loading levels across all nodes.
4.	Initiate and execute the homing plans and monitor Network capacity to ensure additional sites / frequency bands can be added without issues
5.	Incorporating new features and technologies into the network to enhance performance and resolve system issues.
6.	Verifying HLD, LLD & ATP11C documents and providing timely approval to vendors for commercial closure.","1.	Availability of the production capacity based on business projections and capacity thresholds
2.	SAP - PRs and orders done in time. No material shortage due to ordering
3.	Installation and Integration of new RAN elements to cater the released scope 
4.	Timely capacity Augmentation of all RAN NEs
5.	PAN India Rehoming release and execution based on the plan to maintain network loading at optimal level",Capacity planning & dimensioning,Load balancing,Network Design and Architecture,RAN Features & Functionalities ,RAN products evaluation & Lifecycle Management,RAN Server deployment & Integration,Standard Compliance,,,,,
Network Mobility,45282531,RAN Configuration Engineer,RAN Engg & Arch,"The purpose of this role is to ensure and optimize configuration changes, rectifying alarms, integrating new nodes, providing real-time eNB/gNB integration support, resolving daily 4G and 5G site issues, planning VSAT sites, and ensuring RAN server readiness.","1.	Executing configuration changes.
2.	Rectifying alarms.
3.	Commissioning and integrating new nodes.
4.	Real time support for eNB/gNB integration.
5.	Day to day support for 4G and 5G Site forge Issue.
6.	planning and engineering for VSAT sites.
7.	RAN Server readiness.
8.	PAN India Audit & rectification for various parameters.","1.	Updated configuration documents and successful implementation of configuration changes.
2.	Verification and validation of changes.
3.	Timely resolution of alarms and documentation of alarm details and resolutions.
4.	Analysis and root cause determination for recurring alarms.
5.	Commissioning reports and checklists.
6.	Real-time status updates and communication.
7.	Coordination with vendors and field teams.
8.	Server performance testing results.","1.	Average time to complete configuration changes.
2.	Accuracy of configuration changes.
3.	Mean Time to Repair (MTTR) for alarms.
4.	Percentage of critical alarms resolved within SLA.
5.	Percentage of new nodes successfully integrated into the network without issues.
6.	Response time to eNB integration support requests.
7.	Number of support tickets resolved per day/week/month.
8.	Percentage of repeat issues for sites resolved permanently.
9.	Percentage of VSAT sites successfully implemented on schedule.
10.	Number of incidents related to RAN server readiness",RAN Engg & Arch - Fault Detection and Resolution,Automation Scripting and System Integration,Interworking with Legacy Systems,Network Monitoring Tools,Performance Monitoring,RAN Compliance,RAN Integration,RAN Network Configuration,Traffic Management and Optimization,,,
Network Mobility,45283774,Geo Spatial Solution Manager,Regulatory Compliance,"We are seeking a highly skilled and experienced Geo Spatial Subject Matter Expert to join our team. The ideal candidate will have 10-15 years of hands-on experience in geospatial data management, database schema design, and table creation. In addition, the candidate should possess expertise in telecom radio communications and a strong understanding of AI/ML techniques to enhance location accuracy.","1.	Database Schema Design:
•	Design and implement robust and efficient database schemas for managing geospatial data.
•	Create and optimize tables to store location-based information effectively.
2.	Geospatial Data Management:
•	Utilize industry best practices to manage and maintain geospatial datasets.
•	Ensure data integrity and accuracy in geospatial databases.
3.	Telecom Radio Communications:
•	Apply knowledge of telecom radio communications to enhance geospatial solutions.
•	Collaborate with telecom teams to integrate geospatial data into radio communication systems.
4.	AI/ML Integration:
•	Implement AI/ML techniques to improve the accuracy of location-based services.
•	Stay abreast of the latest advancements in AI/ML and integrate relevant technologies for enhanced spatial analytics.
5.	Quality Assurance:
•	Conduct thorough testing of geospatial databases and applications to identify and resolve any issues.
•	Collaborate with quality assurance teams to ensure the reliability of location-based systems.
6.	Documentation:
•	Create and maintain comprehensive documentation for geospatial databases, schema designs, and implemented solutions.
•	Provide training and documentation for end-users as needed.
7.	Collaboration:
•	Work closely with cross-functional teams, including developers, data scientists, and telecom experts, to achieve project goals.
•	Collaborate with stakeholders to gather requirements and translate them into effective geospatial solutions.","1.	Completed framework documentation, deployment plan, and implementation of GIS-API-fixation framework.
2.	Developed geo-spatial use cases addressing specific business needs or requirements.
3.	Integrated product documentation, lifecycle management plan, and successful implementation of integration processes.
4.	Drafted technical interface documents, approved versions, and documentation of interface specifications.","1.	Time taken for development and deployment, accuracy of framework implementation, and user satisfaction with the framework's functionality.
2.	Number of use cases developed, alignment with business objectives, and effectiveness in utilizing geo-spatial information.
3.	Timeliness of integration, adherence to lifecycle management plan, and reduction in integration-related issues.
4.	Timeliness of drafting and approval process, accuracy of technical specifications, and stakeholder satisfaction with the documents.",Cost Optimization & Management,Environmental Compliance in Geo-Spatial Solutions,Geo Data Integration,Geo Spatial Strategy Development,Geographic Information Systems (GIS),Geo-Spatial Data Privacy & Security,Geo-spatial Tools & Platforms,Innovation & Process Improvement,Program Management,Regulatory Framework Application,Solution Architecture,Visualization and Reporting
Network Mobility,45281192,Lead NW Compliance & Geo-Spatial Solns,Regulatory Compliance,"We are seeking a highly skilled and experienced individual to lead our Network Compliance and Geospatial Solution team. The successful candidate will be responsible for ensuring regulatory compliance, designing location-based solutions, integrating vendor solutions for new features and maintaining existing solutions, and ensuring the security compliance of network elements.","1.	Regulatory Compliance: Ensure all network operations are compliant with industry regulations and standards.
2.	Geospatial Solutions: Design and implement geospatial solutions to meet business needs.
3.	Vendor Integration: Collaborate with vendors to integrate new features into our network and maintain existing solutions.
4.	Security Compliance: Ensure all network elements are compliant with security standards and best practices.
5.	Leadership: Lead and mentor a team of network professionals, fostering a culture of continuous learning and improvement.","1.	Plan ,Build adequate Core NW Capacity alternately Modernise hardware to meet growing Customer Interception cases
2.	Network Transformation to support MNP Ported customers
3.	Regulatory Compliance - 
4.	New product compliance
a.	CBC
b.	5G CEIR
c.	5G IIR
d.	Satellite LIM
5.	Security Compliance
a.	VABAMA
b.	TR document
c.	Honey net
6.	Location Accuracy Improvement
a.	Work on 70m accuracy
b.	Integrate new business products","1.	Network Capacity
2.	Transformation milestone
3.	Timely Compliance fulfilment
4.	P1 security compliance, Proactive approach 
5.	Location accuracy to be improved to XXXXm",Regulatory Standards Adherence,Compliance Reporting,Geo Data Integration,Geo-Spatial Analytics,Geo-Spatial Compliance Expertise,GIS & Mapping Expertise,Policy Implementation,Regulatory Risk Assessment,Solution Design & Architecture,Visualization & Insights,,
Network Mobility,45281217,Network Security Compliance SME,Regulatory Compliance,"Your role encompasses strategic planning and architectural design to ensure the robust security of our 5G and cloud infrastructure. You'll lead the development of security solutions for cloud networks, acting as a liaison with the IP team to ensure IP security alignment. Managing escalations for core nodes not meeting security standards is crucial, alongside presenting innovative concepts for approval by leadership. Your focus on cost-effective solutions will drive efficiency. Additionally, you'll oversee security solutions for the 4G core network and ensure compliance with Infosec guidelines, actively participating in audits. Collaboration with security and IMS teams ensures full compliance, while regular updates to management keep stakeholders informed of security measures and progress.","1.   Plan and architect the 5G and cloud security charter
2.   Design security solution for cloud network
3.   Act as an interface with IP team for IP security of the platforms
4.   Manage escalations for core nodes which do not meet security guidelines
5.   Present new concepts to leaders and seek approvals
6.   Device cost effective and innovative solutions
7.   Design security solution for 4G core network and manage security clearance of existing 4G network
8.   Create process in line with Infuse guidelines and participate in audits and provide artifacts
9.   Work with security and IMS team to ensure 100% compliance
10. Create regular updates for Management","1.	Develop and plan the security charter for 5G and cloud networks, outlining strategies, policies, and procedures to ensure robust security measures are in place.
2.	Design security solutions tailored for cloud networks, addressing potential threats and vulnerabilities to safeguard data and infrastructure.
3.	Collaborate with the IP team to ensure IP security measures are integrated into the platforms, addressing network security concerns.
4.	Manage escalations for core nodes that do not meet security guidelines, implementing corrective actions to address security gaps
5.	Present new security concepts and solutions to leadership for review and approval, demonstrating the value and benefits of proposed initiatives.","1.	Completion of the 5G and cloud security charter within specified timelines, demonstrating comprehensive planning and alignment with business objectives.
2.	Evaluation of cloud security solutions' effectiveness in mitigating risks and protecting cloud infrastructure and data.
3.	Average time taken to address security escalations for core nodes, minimizing security vulnerabilities and risks.
4.	Percentage of presented security concepts approved by leadership, indicating alignment with organizational goals and priorities.
5.	Measure of cost savings achieved through the implementation of cost-effective security solutions.",Access Control Management,Cost Optimization & Management,Encryption & Authentication,Firewalls & Network Security Tools,Incident Management & Response,Innovation in Security Solutions,Location-Based Security Protocols,Policy Development & Enforcement,Regulatory Reporting,Security Gap Analysis,Security Standards Compliance,Threat Assessment & Mitigation
Network Mobility,45283772,Regulatory Platform Management Manager,Regulatory Compliance,"The job purpose involves overseeing the end-to-end process of designing, building, and deploying key regulatory solutions to meet regulatory requirements efficiently. Additionally, it includes managing the performance of regulatory solutions and products to ensure adherence to compliance standards. Conducting core network regulatory compliance audits and implementing enhancements are essential for maintaining regulatory compliance.","1.	Solution upkeep of LIM, LCS, CEIR, IIR, LB products.
2.	Liasoning with DOT for additional requirements on these products.
3.	New product evaluation and provide PR to procurement team
4.	Budgeting to address new requirements and platform up-scaling
5.	Liaise with circle, product and regulatory team to demonstrate new product to regulatory for service Go-Live clearance
6.	Understand Product road-map and new features and functionality for implementation in R4G network
7.	Platform integration with other network elements
8.	Provide guidance to operations team for critical issues along with vendor support
9.	Support QA team for platform ATP readiness
10.	Support circles for periodic audit requirements.
11.	Integrate with LIM Ops/Regulatory team for demo.","1.	Prepare AOP for new server requirement
2.	Review Max calls on servers PAN India and ensure utilization under control.
3.	Review MNP TPS utilization in each super core location fortnightly.
4.	License Capacity increase 380Mn to 800 Mn to serve potential growth ported customers.
5.	TPS enhancement 11200 to 15000.
6.	Performance report availability","1.	Count of 5G LIM servers
2.	Count of 4G LIM servers
3.	P1 security compliance
4.	Proactive approach
5.	Timely Compliance fulfilment",API Management for Regulatory Platforms,Compliance Data Integration,Data Engineering & Analytics,Incident Management & Response,Platform Customization,Platform Performance Monitoring,Regulatory Platform Configuration,Reporting & Dashboards,Telecom Regulatory Compliance,,,
Network Mobility,45283771,Regulatory Solutions Design SME,Regulatory Compliance,"Your role within our organization will be integral to the efficient operation and continual improvement of our location services. Primarily, you will be responsible for meticulously planning and supporting the operations of these services, ensuring smooth functionality and optimal performance. Additionally, you will play a key role in the delivery of ISO solutions, leveraging your expertise to implement standardized processes and enhance organizational efficiency.","1.	Plan and support operations of location services
2.	Work on delivery of ISO solution
3.	Planning and management of IP pool
4.	Device cost effective solutions
5.	Manage PR/PO, SAP interface","1.	Develop and implement plans to support the smooth operation of location services, ensuring accuracy and reliability.
2.	Lead the delivery of ISO solutions, ensuring compliance with ISO standards and meeting organizational requirements.
3.	Plan and manage IP address pools efficiently to support network expansion and resource allocation.
4.	Identify and implement cost-effective solutions for devices, optimizing resource utilization while meeting performance requirements.
5.	Manage Purchase Requests and Purchase Orders, ensuring accurate and timely procurement of necessary resources and equipment.
6.	Coordinate with the SAP interface for seamless integration of procurement processes and data management.","1.	Percentage of location services operations carried out without disruptions or issues.
2.	Adherence to project timelines for ISO solution delivery, ensuring on-time implementation.
3.	Optimization of IP address pool utilization, maximizing resource efficiency.
4.	Percentage reduction in device procurement costs compared to budget or previous expenditures.
5.	Average time taken to process Purchase Requests and Purchase Orders, ensuring efficiency in procurement processes.
6.	Smooth functioning and integration of PR/PO processes with the SAP interface, minimizing errors and delays",Regulatory Compliance - Process Optimization,Analytics for Compliance Solutions,Compliance Risk Assessment,Data Engineering & Analytics,Innovation in Regulatory Solutions,Regulatory Framework Application,Regulatory Reporting Standards,Regulatory Solution Architecture,Regulatory Strategy Development,Technology Integration for Compliance,,
Network Mobility,45283773,Regulatory Systems SME,Regulatory Compliance,"The job encompasses a multifaceted approach to ensure regulatory compliance, technological advancement, and seamless network operations. This includes coordinating the planning and operational support for Lawful Interception Solutions, delivering innovative solutions to meet nodal and regulatory requirements, and managing the planning and operations of the IP Lawful Interception Management (LIM) network.","1.	Planning and Engineering: Plan and engineer LIM nodes for HSI & VVM services, including capacity and availability enhancements.
2.	Project Planning and Deployment: Manage end-to-end project planning and deployment of hardware, software, and applications in line with the project plan.
3.	Integration and Testing: Integrate LIM nodes with other network elements and conduct interface testing for HSI and VVM services. Verify test results in accordance with the 3GPP specification.
4.	Cross-functional Coordination: Coordinate with cross-functional teams for feature/parameter issues, CDR field population, procurement, logistics, and vendor coordination for patch upgrades in LIM server.
5.	Support and Verification: Provide support to circle teams for PAN India LIM node integration & testing, and verify HLD & other related documents shared by the vendor team.
6.	Inventory and PR Management: Calculate inventory based on LIM architecture and raise PR for hardware, software, and services.
7.	Documentation: Assist in document creation (HLD, LLD, ODD, NDD) with vendor support and work on solution documents capturing all possible/offered service interception.
8.	Compliance and Handover: Work on Form-A, NIT, liaise with various teams for completing test scenarios, manage LIM A/T, HoTo, and security clearance, and handle operation handover to NOC & IDC.
9.	Support: Provide L3 support for operations and coordinate with the vendor for L4 support.","1.	Integration with IMS nodes and Management servers.
2.	Handover of LIM nodes to Operations.
3.	Security Certifications.
4.	LIM A/T Certification with DoT for HSI as well as VVM services.
5.	Planning, engineering and hardware deployment for LIM nodes.
6.	Resolution of ongoing operational issues liaising with concerned stakeholder.","1.	Percentage of compliance with regulatory requirements.
2.	Number of innovative solutions implemented.
3.	Percentage increase in efficiency or effectiveness achieved by the solutions.
4.	Compliance level with security standards and regulations.
5.	Timeliness of document creation and dissemination.
6.	Percentage decrease in downtime or disruptions during node onboarding.
7.	Feedback from auditors or regulatory authorities on security posture.",Regulatory Compliance - Risk Assessment and Mitigation,Automation Tools & Frameworks,Compliance Data Analytics,Emerging Technology Application,Exception Handling and Resolution,Process Streamlining,Regulatory Change Management,Regulatory Compliance - System Performance Optimization,Regulatory Platform Knowledge,Regulatory Strategy Development,System Integration for Compliance,
Network Mobility,45281202,Security Enforcement Manager,Regulatory Compliance,Develop core security compliance specifications and network security architecture. Facilitate communication between security and IMS/EPC experts. Ensure seamless audit processes and manage document validation. Contribute to virtualization and server environment projects.,"1.	Work on core security compliance feature and functionality requirements specifications
2.	Design and architect the core network security architecture
3.	Act as an interface between security and IMS/EPC SME to resolve security issues
4.	Participate in both Internal and external audit meetings and ensure zero remarks
5.	Work on validation and circulation of process documents
6.	Work on virtualization and physical server environments","1.	VAMABA compliance of core nodes 
2.	Weak Authentication and Outdated OS compliance
3.	ISMS Surveillance - Audit compliance with the evidences of the availability of Asset Profiling details and required documents, processes followed, tools / portals used in day to-day activities
4.	Asset profiling portal automation
5.	Honey net blueprint and deployment for converged services core","1.	P1 findings - 100 percent FOA compliance
2.	P2/P3 Findings - % Replica and % FOA compliance 
3.	% compliance and closure of any open audit point within TAT
4.	% of node types in scope to be available on portal
5.	% TR response from the vendor
6.	Configuration and monitoring of Converged Services Core nodes",Regulatory Compliance - Risk Assessment and Mitigation,Access Control and Identity Management,Audit Management,Data Engineering & Analytics,Incident Management & Response,Policy Development & Enforcement,Regulatory Change Management,Security Compliance Frameworks,Security Tools Expertise,Threat Intelligence Integration,Vulnerability Management,
Network Mobility,45280909,Engineer Business Supp & Spect Statgy,RF Engineering & Design,"To ensure regulatory compliance and prepare monthly reports for 4G and 5G deployment across Pan India. This role involves managing geospatial and site databases, supporting performance validation testing for Airfiber and mmWave, maintaining NPRO for various 5G activities, analysing coverage holes, and supporting zonal teams for site and project activities.","1.	Regulatory compliance monthly report submission
2.	Preparing monthly reconciliation report for the scope of 4G and 5G deployment across Pan India
3.	Management of geospatial database, Site database for 4G and 5G for Pan India
4.	Support performance validation testing for Airfiber/mmWave 
5.	Upkeep of NPRO for 5G ATP/SSCVT/ SCFT/CLOT
6.	BSP coverage hole and Coverage plot Analysis
7.	Zonal team support for 4G and 5G site, tender projects, USOF project
8.	Ensure availability for NPRO","1.	TRAI monthly report progress on roll for 4G and 5G site deployment and meeting the village coverage objective, based on Census town, Village, Population covered, Area covered progression track on monthly basis
2.	Monthly report generation for 4G and 5G site based on village, Pop, different demographic, connectivity i.e., Railway, Highway as envisioned by management for eNB /gNB / OSC /ESC
3.	To maintain 100 accuracy of GIS, timely update and maintenance of all relevant database
4.	Provide required infrastructure and software support for conducting performance validation testing for Airfiber/mmWave
5.	Close coordination with all relevant stakeholders and OEM partners to smooth operation of 5G ATP using Accuver XCAL VUZE
6.	Finding the maximum coverage outreach per sector for pan India 5G deployed site
7.	Provide ISD Query, Clot Cluster and Mapping of R4G, District, State, Circle, XXXX Towns and Census Town
8.	Ensure Servers and Resources Availability for smooth functioning of NPRO and manage additional load demands in lieu of 5G rollout","1.	To meet the coverage, plan as set and decided by Business
2.	To uncover the ongoing project deployment and meeting coverage and capacity plan
3.	Support on multiple database for quick analysis and report preparation for NHQ and Circle team
4.	Support for 5G Team and Vendors ensuring 5G Network Stability and Reliability
5.	Uninterrupted Connectivity to Servers for Drive Tests and Uploading Logs
6.	Ensure proper 5G Connectivity and Throughput in all Circles.",Business Analysis,Business Process Optimization,Data Engineering & Analytics,Financial Reporting,Market Analysis & Research,Regulatory Compliance in RF & Wireless Systems,Report Preparation,RF Engineering & Design - Network Performance Optimization,RF Engineering & Design - Project Coordination,RF System Knowledge,Spectrum Licensing,Spectrum Planning
Network Mobility,45280921,Engineer RF P&E,RF Engineering & Design,"The role is focused on ensuring the optimization and performance evaluation of a 5G network through in-fill coverage planning, field audits, drive tests, RF planning, database preparation, logs processing, ODCPE/Air Fiber testing, and utilization of various tools and utilities.","1.	5G NR Drive Test done to evaluate the performance of the network.
2.	5G RF Planning and Database Preparation.
3.	5G NR Logs Processing.
4.	ODCPE/Air Fiber Testing.
5.	Tools Utilities Working.","1.	Testing done to capture different RF Parameters with different Testing Tools Learnt, Learned about the basics tools used for the 5G Testing X-CAL, X-CAP
2.	Prepared 5G RF Physical Database for both the bands and share with vendors.
3.	Learned about the basics of QCAT for the analysis of logs.
4.	Learned about the basics of ODCPE and field test done as per the requirement.
5.	JCP, Atoll, Google Earth, QCAT, QXDM","1.	5G Drive Testing done to capture different RF Parameters.
2.	As per functional/management deliverable with timelines.
3.	Processing of logs was performed with the help of QCAT and X-CAP.
4.	As per functional/management deliverable with timelines.",Coverage and Capacity Planning,Data Engineering & Analytics,Interference Management,Link Budget Analysis,Modeling & Simulation,Regulatory Standards & Compliance,RF Engineering & Design - Network Optimization,RF Network Planning,RF Planning Tools,Spectrum Management,Troubleshooting RF Network Issues,
Network Mobility,45280920,Manager Planng & Engg (Outdoor) Regional,RF Engineering & Design,"The job involves planning for network coverage growth, capacity, and small cell deployment to enhance service quality. It includes managing the Technical Assistance Center (TAC) and Technical Assistance Line (TAL) for effective support, and conducting TAC audits to ensure compliance and improvement.","1.	Responsible for Coverage growth planning, capacity planning, small cell planning & TAC & TAL planning
2.	Conduct TAC audit","1.	To ensure 4G 5G coverage as per released scope through planet prediction, maintain/ update CPC changes due to replacement/IP to OB, CPC reconciliation
2.	Validating circles new coverage ask with on field coverage requirement, population, competition presence etc, validating site shifting due to replacement, IP to OB, circle initiated, Support USOF related activities
3.	Coordination with North zone for NHQ requirements like scope maintenance, CR approvals, various NHQ initiated analysis, circle requirements etc
4.	Planning optimally < 300 sites) sized 4G & 5G TACs
5.	Ensure no TAC Islands, aligned with districts & Implementation along with core 
6.	Planning PCI/RSI for replacement, IP to OB or new sites for In-house integration 
7.	5G ODSC Planning for Top 10, Top 100, weak 5G coverage patches 5G Non-doubles gNB site
8.	Supporting need basis activities like BSP plot, Air fiber planet prediction etc
9.	Various analysis validations through tools like planet, atoll, JCP, xcal drive test, site forge etc","1.	% of 4G and 5G coverage achieved as per released scope
2.	Reduce 5G coverage gaps and resolve non-doubles gNB site issues
3.	Time taken to update and maintain CPC changes due to replacements or integration points to on-board (IP to OB)
4.	Percentage of compliance with NHQ scope maintenance requirements
5.	Degree of efficient resource utilization in planning TACs",Budgeting & Financial Planning,Capacity Planning & Forecasting,Network Deployment Management,Process Improvement & Standardization,Regulatory Compliance in RF & Wireless Systems,RF Network Planning,RF Optimization Techniques,Site Survey and Selection,Technical Troubleshooting & Support,,,
Network Mobility,45280912,Manager Tech & Product Evolution,RF Engineering & Design,"To develop the LTE Advanced evolution roadmap, manage RF features testing, and field evaluations. This includes finalizing and validating antenna specs, validating SON RF features, strategizing multi-band operations, and defining RF parameters, acceptance processes, and TAC/TAL strategies for macro and small cells.","1.	Responsible for developing LTE Advance evolution roadmap, RF Features Testing and roadmap
2.	Manage Enhanced Services field Testing & Product field evaluation
3.	Driving Antenna specs finalization & validation, Field validation of SON RF features
4.	Strategizing Multi-band operation parameters
5.	Defining and tuning of RF golden parameter &RF Acceptance process, guidelines and Targets, TAC/TAL Strategy (Macro/small cells & bands)","1.	5G NR 3500 Mhz and 700 MHz Band coverage predictions with Planet tool and sites planning to maximize the coverage as per business objective requirement
2.	4G 2300 Mhz, 1800 and 850 Mhz Band coverage predictions with Planet tool and sites planning to maximize the coverage as per business objective review and requirement
3.	Zone wise RF planning coordination with Circle and NHQ functions for RF activities, sites Scope maintenance, USOF, Railway coverage project
4.	MM Wave Prediction for ODCPE planning as per business requirement, Regulatory requirements fulfillment
5.	5G Jio ODSC Planning for Top towns and temples as per business requirement","1.	Timely and proactively 5G site Scope release for 5G NR coverage
2.	Timely support and closure for all RF related activities 
3.	Time bound plan release for MM wave deployment in alignment with business management requirement
4.	Timely submission for regulatory compliance reports
5.	Plan as per business objective with timelines",Competitive Analysis,Emerging RF & Wireless Technologies,Innovation Management,Market Trends Analysis,Product Evolution in RF Systems,Regulatory Compliance in RF & Wireless Systems,RF Engineering & Design - Product Lifecycle Management,RF Technology Evolution,Roadmap Development,Strategic Planning,Technical Documentation and Reporting,
Network Mobility,45280910,Manager Tools & Ops Support,RF Engineering & Design,"To drive RF process automation for optimization, manage vendor interactions for operational support, define RF logics and algorithms, and provide expert support (L2) along with license and Site Forge workflow management.","1.	Responsible for RF Process Automation for Optimization
2.	Manage Vendor interaction for operational support
3.	Defining the RF logics and algorithms
4.	Provide Expert support (L2) and license Management & Site Forge - Workflow Management Finalization","1.	Automating e2e all RF AT modules
2.	Developing logic for XCAL/Vuze/Web Server
3.	Time to time Adding new features and logic modifications/ enhancement for creating state-of-the-art system
4.	Developing 5G RF workflow in Site forge, managing and enhancing with new features as and when required
5.	Collaborating with JBDL for automated report preparation
6.	Developing Change management portal for 5G site scope
7.	Collaborating with Qualcomm, Ericsson, Nokia, Samsung, Info vista, Atoll, 3D Map Vendors, Accuver, Jio SOLPAR for 5G/4G network planning/ Automation/Optimization and strategy
8.	Creating 5G NR RF Design engineering Framework - Design Basis / assumptions, Link Budget
9.	Analysis of the architecture options/ strategy input/Multi-layer strategy/IRAT/New technologies
10.	Supporting circle and NHQ team for their queries on automation platform, XCAL, XCAP, Vuze, site forge workflow, GIS workflow, Atoll/ Planet, UE XCAL compatibility, etc. Also, providing support to circle team for efficiently carrying out TRAI test","1.	Accuracy and timelines
2.	Better coordination for smooth system performance
3.	Network performance improvement	
4.	Successful query resolution and providing solution related to RF Automation and tools",Automation Tools & Frameworks,Capacity Planning,Data Engineering & Analytics,Incident Management & Response,Network Monitoring & Performance Tools,Operational Process Optimization,Regulatory Compliance in RF & Wireless Systems,RF Tools and Software,Technical Documentation and Reporting,,,
